x,y
31.144,1029
47.951,934
32.175,944
28.934,1005
41.078,902
34.571,980
50.045,908
39.076,897
32.588,889
32.291,854
38.518,889
29.783,979
39.431,1048
36.785,882
31.511,1099
34.652,1060
32.257,999
26.461,1021
31.972,896
40.661,909
40.795,907
41.895,1033
35.948,1085
26.818,1036
31.189,1045
28.785,1009
30.922,1050
34.836,917
34.72,935
46.087,898
28.493,1015
47.612,892
30.793,865
26.327,1107
36.802,975
28.172,1027
38.555,947
44.51,880
40.729,888
30.279,844
25.994,1068
32.477,1040
31.223,893
29.082,1076
35.406,901
33.987,896
36.151,937
31.944,932
37.746,1073
31.285,1001
